"source_exposure_date","mean_rt","ci_lower","ci_upper","n"
38,1.86585864446929,1.50999084249084,2.21136590229312,100
39,1.87006542379478,1.59072025565388,2.21623405739338,100
40,1.83499098300715,1.61865121806298,2.07424568965517,100
41,1.83347453355376,1.57025237706136,2.09398128941255,100
42,1.81812422375326,1.50722716353313,2.0954949784792,100
43,1.84725323323477,1.63816239316239,2.0791206609329,100
44,1.81560869162151,1.55547119358237,2.09294051204819,100
45,1.80085396477841,1.58362620003918,2.04235371466141,100
46,1.77675421877522,1.55109861700127,2.06128500451671,100
47,1.75631146431101,1.58850122850123,1.99358205151964,100
48,1.7648765553422,1.58623447593486,1.99034154535274,100
49,1.73566503113996,1.51567822050826,1.92406010754648,100
50,1.73296006309832,1.55535408826548,1.90665775521208,100
51,1.7082621440888,1.52983635755098,1.90224587396849,100
52,1.69437891462202,1.54444955426631,1.89815964854516,100
53,1.68324528940421,1.49422403531396,1.87339308375635,100
54,1.63800544291917,1.47122170472756,1.82646942739005,100
55,1.63556974263783,1.49513063763608,1.81059789432148,100
56,1.60910633406859,1.44451378236415,1.78206241685144,100
57,1.59615429232418,1.45724240613707,1.78055846988094,100
58,1.59361249255759,1.44295501214916,1.78579893705419,100
59,1.55251301333463,1.39321096823246,1.70986841777326,100
60,1.54320396614848,1.38772087107842,1.69702461992285,100
61,1.51607861613595,1.35844868528706,1.68043924825175,100
62,1.4859060578997,1.35342860906217,1.63691084040927,100
63,1.47003534196191,1.33568098893823,1.60686341112532,100
64,1.43952589520024,1.31371767982976,1.58820296523517,100
65,1.41526732442475,1.30344924910733,1.58166386299544,100
66,1.3918035330402,1.24982196046244,1.53185739211528,100
67,1.37511462184998,1.24106299928814,1.55969471947195,100
68,1.33909396891726,1.20552196706049,1.48504539095409,100
69,1.31406196077285,1.18071691958587,1.4883586383539,100
70,1.28912913191332,1.15141367623999,1.43695318246429,100
71,1.25304866786506,1.13953570224663,1.3818097874055,100
72,1.23112425894736,1.09711905022456,1.37742439572992,100
73,1.20937190241152,1.09335843373494,1.33832918892523,100
74,1.17471636993984,1.05044924720738,1.29567550476173,100
75,1.15043671715674,1.00895025272951,1.2840423460696,100
76,1.11549029398901,1.01075071944809,1.25090470472751,100
77,1.09137361228523,0.983657265889528,1.22403042091355,100
78,1.06836592577415,0.959673587187533,1.19587175317584,100
79,1.0477046356302,0.938299977117921,1.18483049715492,100
80,1.02007757406462,0.903123259228669,1.1485340775692,100
81,0.995749117064629,0.8763678153651,1.12014173677224,100
82,0.966550172133621,0.865029452529453,1.0824319426408,100
83,0.939968150728419,0.83475721103576,1.08786038777566,100
84,0.912812896351287,0.81664023339599,1.02947666729406,100
85,0.89223949544673,0.792986415467771,1.01830016700641,100
86,0.871005852642521,0.778062755636583,0.989205251844998,100
87,0.849513330633842,0.743724986615354,0.952891697685162,100
88,0.827855285888905,0.727393996414119,0.932436521760021,100
89,0.806052520090353,0.721095036462009,0.900115012502247,100
90,0.791937084386433,0.708808118771063,0.897141131507818,100
91,0.775189870656773,0.681251971531964,0.88994636019107,100
92,0.744793368711517,0.666046597022383,0.82239371399402,100
93,0.729466686063353,0.648772399767797,0.830926751666318,100
94,0.712865252838648,0.635104491873488,0.792777552066261,100
95,0.698582784012685,0.622517932872316,0.799206522761475,100
96,0.686329023412113,0.610812079615302,0.760443067784857,100
97,0.665808506402267,0.581421295836232,0.752715707735428,100
98,0.65455527396633,0.595900818652898,0.72823026058294,100
99,0.641361107822821,0.557387378012339,0.727094805185122,100
100,0.63122271032742,0.5296875,0.754323681064003,100
101,0.611952122954681,0.545400326499897,0.684219101470699,100
102,0.600459377522342,0.531784926143828,0.679825655160345,100
103,0.594170076420817,0.517081352592231,0.665398613726833,100
104,0.585778014579236,0.522096640869123,0.652628205128205,100
105,0.575666334564827,0.495255596180751,0.654872661271353,100
106,0.561991048228854,0.50142401855441,0.633026755852843,100
107,0.551861216781208,0.469982300665891,0.632826373138115,100
108,0.549863599012287,0.485421703866765,0.627821951568777,100
109,0.541953368992513,0.471259477023054,0.5991642228739,100
110,0.532268901045203,0.464661302319291,0.607703636800284,100
111,0.520072188583202,0.444832305852043,0.605239649406066,100
112,0.510064885200942,0.440635483870968,0.57482321701084,100
113,0.505311937016277,0.42517463448596,0.583160664661768,100
114,0.504624597430401,0.436813270941677,0.575429157112084,100
115,0.505930166640085,0.425566033864572,0.609016724981585,100
116,0.481587443123265,0.409157575757576,0.557869089852964,100
117,0.481633994515649,0.40318139803053,0.555735713818871,100
118,0.480999917132062,0.401728075091062,0.565081908831909,100
119,0.4635884503891,0.381836108676599,0.529020870941418,100
120,0.469072982692875,0.388294604700855,0.541869311009235,100
121,0.458973982310812,0.373191463214812,0.547029881994671,100
122,0.459086527859931,0.379688866219761,0.532079238329238,100
123,0.441969362653838,0.370861349873675,0.526050724637681,100
124,0.446818455793711,0.369928875448029,0.538235170323812,100
125,0.439363827999086,0.351903846153846,0.514677287581699,100
126,0.429730167992162,0.340167284219704,0.508040370058873,100
127,0.418658746186595,0.326423918061659,0.517446369636964,100
128,0.423894641615218,0.340564325177585,0.515078382838284,100
129,0.417390371830875,0.321166943521595,0.516664045650611,100
130,0.404627208136296,0.307129689872045,0.502853260869565,100
131,0.402363258721985,0.288757183908046,0.5029128691214,100
132,0.391049546606956,0.294805853375833,0.496577415872718,100
133,0.36945227816615,0.284019370460048,0.460246598639456,100
134,0.354611448710009,0.25640931372549,0.443149496461622,100
135,0.35504675454353,0.243130902149889,0.448412093495935,100
136,0.331987548206928,0.244631939349474,0.428659003831418,100
137,0.308158683981857,0.206495726495727,0.426555140490499,100
138,0.290847980702112,0.158517501488784,0.399981836675385,100
139,0.277879218679269,0.179153899187988,0.383641459923664,100
140,0.25477504369494,0.152580927384077,0.346149197978466,100
141,0.223519526911491,0.12831159917639,0.328385416666667,100
142,0.191888942370413,0.0985795454545454,0.289641577060932,100
143,0.169721663528759,0.0894788074313049,0.266142270861833,100
144,0.134000103494723,0.0612429605792438,0.225783699059561,100
145,0.105573849483892,0.0334866220735786,0.200340267077555,100
146,0.0670629242328553,0.005,0.137123655913978,100
147,0.0416568480988741,0,0.10440108892922,100
148,0.0169319567913317,0,0.0587471297359357,100
149,0,0,0,100
150,0,0,0,100
